PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-0921,"Jantzen Audio 000-0921 | 0,14 mH | 0,16 Ω | 3% | 18 AWG",0.14,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0921.html,6.45
Jantzen Audio 000-0207,"Jantzen Audio 000-0207 | 0,14 mH | 0,22 Ω | 3% | 18 AWG",0.14,0.22,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0207.html,7.45
Jantzen Audio 000-7628,"Jantzen Audio 000-7628 | 0,14 mH | 0,12 Ω | 2% | 16 AWG",0.14,0.12,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7628.html,21.45
Jantzen Audio 000-8014,"Jantzen Audio 000-8014 | 0,14 mH | 0,06 Ω | 2% | 12 AWG",0.14,0.06,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8014.html,37.45
Dayton Audio LW18-15,Dayton Audio LW18-15 | 0.15 mH | 0.18 Ω | 5% | 18 AWG,0.15,0.18,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-15.html,5.25
Jantzen Audio 000-1051,"Jantzen Audio 000-1051 | 0,15 mH | 0,16 Ω | 3% | 18 AWG",0.15,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1051.html,6.45
Jantzen Audio 000-2207,"Jantzen Audio 000-2207 | 0,15 mH | 0,06 Ω | 3% | 17 AWG",0.15,0.06,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2207.html,6.45
Jantzen Audio 000-1236,"Jantzen Audio 000-1236 | 0,15 mH | 0,16 Ω | 3% | 18 AWG",0.15,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1236.html,6.45
Jantzen Audio 000-1130,"Jantzen Audio 000-1130 | 0,15 mH | 0,16 Ω | 3% | 18 AWG",0.15,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1130.html,6.95
Jantzen Audio 000-1206,"Jantzen Audio 000-1206 | 0,15 mH | 0,19 Ω | 3% | 18 AWG",0.15,0.19,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1206.html,7.45
"Mundorf L100-0,15","Mundorf L100-0,15 | 0,15 mH | 0,17 Ω | 2% | 18 AWG",0.15,0.17,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-015.html,7.95
Jantzen Audio 000-1092,"Jantzen Audio 000-1092 | 0,15 mH | 0,12 Ω | 3% | 17 AWG",0.15,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1092.html,8.45
Jantzen Audio 000-1688,"Jantzen Audio 000-1688 | 0,15 mH | 0,105 Ω | 3% | 15 AWG",0.15,0.105,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1688.html,9.95
Intertechnik LUT32/015/10,"Intertechnik LUT32/015/10 | 0,15 mH | 0,21 Ω | 3% | 18 AWG",0.15,0.21,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut32-015-10.html,10.45
Jantzen Audio 000-1485,"Jantzen Audio 000-1485 | 0,15 mH | 0,1 Ω | 3% | 15 AWG",0.15,0.1,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1485.html,10.95
Jantzen Audio 000-L-0015,"Jantzen Audio 000-L-0015 | 0,15 mH | 0,12 Ω | 3% | 15 AWG",0.15,0.12,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0015.html,11.95
Jantzen Audio 000-0004,"Jantzen Audio 000-0004 | 0,15 mH | 0,084 Ω | 3% | 14 AWG",0.15,0.084,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0004.html,12.45
Intertechnik LU44/015/100,"Intertechnik LU44/015/100 | 0,15 mH | 0,17 Ω | 3% | 18 AWG",0.15,0.17,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-015-100.html,12.95
Intertechnik LU55/015/140,"Intertechnik LU55/015/140 | 0,15 mH | 0,10 Ω | 3% | 15 AWG",0.15,0.1,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-015-140.html,14.96
Dayton Audio LW14-15,Dayton Audio LW14-15 | 0.15 mH | 0.08 Ω | 3% | 14 AWG,0.15,0.08,14.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw14-15.html,16.95
"Mundorf CFC16-0,15","Mundorf CFC16-0,15 | 0,15 mH | 0,12 Ω | 2% | 16,5 AWG",0.15,0.12,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-015.html,19.95
Jantzen Audio 000-7630,"Jantzen Audio 000-7630 | 0,15 mH | 0,12 Ω | 2% | 16 AWG",0.15,0.12,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7630.html,20.45
Jantzen Audio 000-8530,"Jantzen Audio 000-8530 | 0,15 mH | 0,12 Ω | 2% | 16 AWG",0.15,0.12,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8530.html,21.45
Intertechnik TRI55/015/0.50,"Intertechnik TRI55/015/0.50 | 0,15 mH | 0,116 Ω | 1% | 7 x 24 AWG",0.15,0.116,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri55-015-0-50.html,21.95
Intertechnik LU62/015/100,"Intertechnik LU62/015/100 | 0,15 mH | 0,06 Ω | 3% | 18 AWG",0.15,0.06,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu62-015-100.html,23.95
Jantzen Audio 000-7295,"Jantzen Audio 000-7295 | 0,15 mH | 0,09 Ω | 2% | 14 AWG",0.15,0.09,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7295.html,25.95
Jantzen Audio 000-8275,"Jantzen Audio 000-8275 | 0,15 mH | 0,09 Ω | 2% | 14 AWG",0.15,0.09,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8275.html,27.45
"Mundorf CFC14-0,15","Mundorf CFC14-0,15 | 0,15 mH | 0,09 Ω | 2% | 14 AWG",0.15,0.09,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-015.html,27.95
Jantzen Audio 000-8015,"Jantzen Audio 000-8015 | 0,15 mH | 0,07 Ω | 2% | 12 AWG",0.15,0.07,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8015.html,37.95
Jantzen Audio 000-9015,"Jantzen Audio 000-9015 | 0,15 mH | 0,03 Ω | 2% | 8 AWG",0.15,0.03,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9015.html,74.95
Jantzen Audio 000-1627,"Jantzen Audio 000-1627 | 0,16 mH | 0,18 Ω | 3% | 18 AWG",0.16,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1627.html,6.45
Jantzen Audio 000-0952,"Jantzen Audio 000-0952 | 0,16 mH | 0,12 Ω | 3% | 17 AWG",0.16,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0952.html,8.45
Jantzen Audio 000-L-0016,"Jantzen Audio 000-L-0016 | 0,16 mH | 0,12 Ω | 3% | 15 AWG",0.16,0.12,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0016.html,12.45
Jantzen Audio 000-7632,"Jantzen Audio 000-7632 | 0,16 mH | 0,13 Ω | 2% | 16 AWG",0.16,0.13,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7632.html,20.45
Jantzen Audio 000-8016,"Jantzen Audio 000-8016 | 0,16 mH | 0,07 Ω | 2% | 12 AWG",0.16,0.07,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8016.html,38.95
Jantzen Audio 000-0822,"Jantzen Audio 000-0822 | 0,17 mH | 0,18 Ω | 3% | 18 AWG",0.17,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0822.html,6.95
Jantzen Audio 000-1049,"Jantzen Audio 000-1049 | 0,17 mH | 0,11 Ω | 3% | 15 AWG",0.17,0.11,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1049.html,10.45
Jantzen Audio 000-8017,"Jantzen Audio 000-8017 | 0,17 mH | 0,07 Ω | 2% | 12 AWG",0.17,0.07,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8017.html,39.45
Jantzen Audio 000-1277,"Jantzen Audio 000-1277 | 0,18 mH | 0,18 Ω | 3% | 18 AWG",0.18,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1277.html,6.95
Jantzen Audio 000-1010,"Jantzen Audio 000-1010 | 0,18 mH | 0,18 Ω | 3% | 18 AWG",0.18,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1010.html,6.95
Jantzen Audio 000-1289,"Jantzen Audio 000-1289 | 0,18 mH | 0,2 Ω | 3% | 18 AWG",0.18,0.2,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1289.html,7.45
Jantzen Audio 000-1207,"Jantzen Audio 000-1207 | 0,18 mH | 0,21 Ω | 3% | 18 AWG",0.18,0.21,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1207.html,7.45
"Mundorf L100-0,18","Mundorf L100-0,18 | 0,18 mH | 0,19 Ω | 2% | 18 AWG",0.18,0.19,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-018.html,7.95
Jantzen Audio 000-1937,"Jantzen Audio 000-1937 | 0,18 mH | 0,14 Ω | 3% | 17 AWG",0.18,0.14,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1937.html,8.45
Jantzen Audio 000-1273,"Jantzen Audio 000-1273 | 0,18 mH | 0,105 Ω | 3% | 15 AWG",0.18,0.105,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1273.html,9.95
Intertechnik LUT32/018/10,"Intertechnik LUT32/018/10 | 0,18 mH | 0,23 Ω | 3% | 18 AWG",0.18,0.23,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut32-018-10.html,10.45
Intertechnik LU44/018/100,"Intertechnik LU44/018/100 | 0,18 mH | 0,22 Ω | 3% | 18 AWG",0.18,0.22,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-018-100.html,12.45
Jantzen Audio 000-0005,"Jantzen Audio 000-0005 | 0,18 mH | 0,09 Ω | 3% | 14 AWG",0.18,0.09,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0005.html,14.45
Intertechnik LU55/018/140,"Intertechnik LU55/018/140 | 0,18 mH | 0,11 Ω | 3% | 15 AWG",0.18,0.11,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-018-140.html,15.95
Jantzen Audio 000-0105,"Jantzen Audio 000-0105 | 0,18 mH | 0,08 Ω | 3% | 13 AWG",0.18,0.08,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0105.html,17.45
