PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-7284,"Jantzen Audio 000-7284 | 0,12 mH | 0,08 Ω | 2% | 14 AWG",0.12,0.08,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7284.html,19.79
"Mundorf CFC14-0,12","Mundorf CFC14-0,12 | 0,12 mH | 0,08 Ω | 2% | 14 AWG",0.12,0.08,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-012.html,21.45
Jantzen Audio 000-8012,"Jantzen Audio 000-8012 | 0,12 mH | 0,06 Ω | 2% | 12 AWG",0.12,0.06,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8012.html,30.12
Dayton Audio LW18-13,Dayton Audio LW18-13 | 0.13 mH | 0.16 Ω | 5% | 18 AWG,0.13,0.16,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-13.html,3.68
Jantzen Audio 000-1738,"Jantzen Audio 000-1738 | 0,13 mH | 0,476 Ω | 3% | 24 AWG",0.13,0.476,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1738.html,4.09
Jantzen Audio 000-1531,"Jantzen Audio 000-1531 | 0,13 mH | 0,29 Ω | 3% | 21 AWG",0.13,0.29,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1531.html,4.92
Jantzen Audio 000-1965,"Jantzen Audio 000-1965 | 0,13 mH | 0,16 Ω | 3% | 18 AWG",0.13,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1965.html,5.33
Jantzen Audio 000-7626,"Jantzen Audio 000-7626 | 0,13 mH | 0,11 Ω | 2% | 16 AWG",0.13,0.11,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7626.html,16.9
Jantzen Audio 000-80135,"Jantzen Audio 000-80135 | 0,135 mH | 0,06 Ω | 2% | 12 AWG",0.135,0.06,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-80135.html,31.36
Jantzen Audio 000-1112,"Jantzen Audio 000-1112 | 0,14 mH | 0,23 Ω | 3% | 20 AWG",0.14,0.23,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1112.html,4.5
Jantzen Audio 000-2371,"Jantzen Audio 000-2371 | 0,14 mH | 0,11 Ω | 3% | 20 AWG",0.14,0.11,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2371.html,4.92
Jantzen Audio 000-0921,"Jantzen Audio 000-0921 | 0,14 mH | 0,16 Ω | 3% | 18 AWG",0.14,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0921.html,5.33
Jantzen Audio 000-0207,"Jantzen Audio 000-0207 | 0,14 mH | 0,22 Ω | 3% | 18 AWG",0.14,0.22,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0207.html,6.16
Jantzen Audio 000-7628,"Jantzen Audio 000-7628 | 0,14 mH | 0,12 Ω | 2% | 16 AWG",0.14,0.12,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7628.html,17.73
Jantzen Audio 000-8014,"Jantzen Audio 000-8014 | 0,14 mH | 0,06 Ω | 2% | 12 AWG",0.14,0.06,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8014.html,30.95
Dayton Audio AC20-15,Dayton Audio AC20-15 | 0.15 mH | 0.26 Ω | 5% | 20 AWG,0.15,0.26,20.0,Air Core,https://www.soundimports.eu/en/dayton-audio-ac20-15.html,3.26
Jantzen Audio 000-1324,"Jantzen Audio 000-1324 | 0,15 mH | 0,49 Ω | 3% | 24 AWG",0.15,0.49,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1324.html,4.09
Jantzen Audio 000-1816,"Jantzen Audio 000-1816 | 0,15 mH | 0,51 Ω | 3% | 24 AWG",0.15,0.51,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1816.html,4.09
Dayton Audio LW18-15,Dayton Audio LW18-15 | 0.15 mH | 0.18 Ω | 5% | 18 AWG,0.15,0.18,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-15.html,4.34
Jantzen Audio 000-1815,"Jantzen Audio 000-1815 | 0,15 mH | 0,23 Ω | 3% | 20 AWG",0.15,0.23,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1815.html,4.5
