PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
027-460,Jantzen 0502 0.10uF 1200V Z-Superior Capacitor,0.1,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0502-0.10uF-1200V-Z-Superior-Capacitor-027-460,14.67
027-750,Jantzen 0602 0.10uF 1200V Z-Silver Capacitor,0.1,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0602-0.10uF-1200V-Z-Silver-Capacitor-027-750,20.58
027-126,Audyn Cap Plus 0.1uF 1.2KV Double Layer MKP Foil C,0.1,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.1uF-1.2KV-Double-Layer-MKP-Foil-Capacitor-027-126,8.59
027-400,Dayton Audio DMPC-0.10 0.10uF 250V Polypropylene C,0.1,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-0.10-0.10uF-250V-Polypropylene-Capacitor-027-400,2.48
027-101,Audyn Cap Q4 0.1uF 400V MKP Foil Capacitor,0.1,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-0.1uF-400V-MKP-Foil-Capacitor-027-101,2.48
027-900,Jantzen 0200 0.10uF 400V Crosscap Capacitor,0.1,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0200-0.10uF-400V-Crosscap-Capacitor-027-900,0.96
027-452,Dayton Audio DFFC-0.10 0.10uF 400V By-Pass Capacitor,0.1,5.0,400.0,Film and Foil,https://www.parts-express.com/Dayton-Audio-DFFC-0.10-0.10uF-400V-By-Pass-Capacitor-027-452,1.49
027-631,Solen 0.10uF 700V Silver Sound MKP Silver Metallized,0.1,5.0,700.0,Metalized Polypropylene,https://www.parts-express.com/Solen-0.10uF-700V-Silver-Sound-MKP-Silver-Metallized-Polypropylene-Film-Crossover-Capacitor-027-631,25.75
027-127,Audyn Cap Plus 0.15uF 1.2KV Double Layer MKP Foil C,0.15,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.15uF-1.2KV-Double-Layer-MKP-Foil-Capacitor-027-127,8.92
027-462,Jantzen 0506 0.15uF 1200V Z-Superior Capacitor,0.15,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0506-0.15uF-1200V-Z-Superior-Capacitor-027-462,14.96
027-202,Dayton Audio PMPC-0.22 0.22uF 250V Precision Audio C,0.22,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-0.22-0.22uF-250V-Precision-Audio-Capacitor-027-202,0.59
027-151,Audyn True Copper Cap 0.22uF 630V Copper Foil C,0.22,2.0,600.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-True-Copper-Cap-0.22uF-630V-Copper-Foil-Capacitor-027-151,52.4
027-128,Audyn Cap Plus 0.22uF 1.2KV Double Layer MKP Foil C,0.22,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.22uF-1.2KV-Double-Layer-MKP-Foil-Capacitor-027-128,9.21
027-754,Jantzen 0610 0.22uF 1200V Z-Silver Capacitor,0.22,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0610-0.22uF-1200V-Z-Silver-Capacitor-027-754,21.06
027-464,Jantzen 0510 0.22uF 1200V Z-Superior Capacitor,0.22,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0510-0.22uF-1200V-Z-Superior-Capacitor-027-464,21.06
027-402,Dayton Audio DMPC-0.22 0.22uF 250V Polypropylene C,0.22,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-0.22-0.22uF-250V-Polypropylene-Capacitor-027-402,1.69
027-454,Dayton Audio DFFC-0.22 0.22uF 400V By-Pass Capacitor,0.22,5.0,400.0,Film and Foil,https://www.parts-express.com/Dayton-Audio-DFFC-0.22-0.22uF-400V-By-Pass-Capacitor-027-454,2.53
027-102,Audyn Cap Q4 0.22uF 400V MKP Foil Capacitor,0.22,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-0.22uF-400V-MKP-Foil-Capacitor-027-102,2.53
027-902,Jantzen 0208 0.22uF 400V Crosscap Capacitor,0.22,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0208-0.22uF-400V-Crosscap-Capacitor-027-902,1.21
027-632,Solen 0.22uF 700V Silver Sound MKP Silver Metallized,0.22,5.0,700.0,Metalized Polypropylene,https://www.parts-express.com/Solen-0.22uF-700V-Silver-Sound-MKP-Silver-Metallized-Polypropylene-Film-Crossover-Capacitor-027-632,24.98
